Name,Count
:flushed_face:,1697
:pensive_face:,1368
:thinking_face:,1353
:pleading_face:,761
:sweat_droplets:,612
:grinning_face:,481
:grinning_face_with_big_eyes:,470
:grimacing_face:,420
:yawning_face:,365
:neutral_face:,360
:eyes:,329
:smiling_face_with_heart-eyes:,322
:slightly_smiling_face:,305
:smiling_face_with_tear:,276
:face_with_tears_of_joy:,174
:hot_face:,119
:loudly_crying_face:,108
:smiling_face_with_sunglasses:,101
:backhand_index_pointing_left:,93
:backhand_index_pointing_right:,93
:bread:,83
:clapping_hands:,81
:face_savoring_food:,74
:sleeping_face:,69
:OK_hand:,68
:skull:,67
:red_heart:,66
:expressionless_face:,61
:sparkles:,61
:relieved_face:,47
:thumbs_down:,47
:cooked_rice:,37
:growing_heart:,33
:nauseated_face:,33
:clown_face:,32
:smiling_face_with_hearts:,30
:upside-down_face:,27
:face_without_mouth:,20
:pouting_face:,20
:rolling_on_the_floor_laughing:,19
:love-you_gesture:,17
:beating_heart:,16
:thumbs_up:,16
:folded_hands:,16
:star-struck:,15
:face_vomiting:,14
:eye:,14
:smirking_face:,13
:brain:,13
:two_hearts:,13
:teacup_without_handle:,12
:heart_suit:,12
:revolving_hearts:,11
:sparkling_heart:,11
:exploding_head:,10
:chart_increasing:,10
:sleepy_face:,9
:cigarette:,9
:pile_of_poo:,9
:anxious_face_with_sweat:,9
:bomb:,9
:collision:,9
:,8
:flexed_biceps:,8
:potato:,8
:red_circle:,8
:mouth:,7
:face_with_steam_from_nose:,7
:blue_circle:,7
:grinning_face_with_smiling_eyes:,7
:face_with_raised_eyebrow:,7
:kissing_face:,7
:octopus:,6
:fearful_face:,6
:broken_heart:,6
:leafy_green:,6
:right-facing_fist:,6
:anger_symbol:,6
:hammer:,6
:heart_with_arrow:,6
:woozy_face:,5
:heart_with_ribbon:,5
:baguette_bread:,5
:beaming_face_with_smiling_eyes:,5
:sneezing_face:,5
:white_circle:,5
:face_blowing_a_kiss:,5
:herb:,5
:cowboy_hat_face:,5
:kiss_mark:,5
:duck:,5
:chart_decreasing:,5
:broccoli:,5
:yellow_heart:,4
:face_with_rolling_eyes:,4
:orange_book:,4
:face_with_thermometer:,4
:smiling_face_with_smiling_eyes:,4
:hamburger:,4
:hand_with_fingers_splayed:,4
:face_with_monocle:,4
:robot:,4
:zany_face:,4
:brown_heart:,4
:child:,4
:face_with_medical_mask:,4
:cut_of_meat:,4
:hugging_face:,3
:cheese_wedge:,3
:black_large_square:,3
:slightly_frowning_face:,3
:downcast_face_with_sweat:,3
:shark:,3
:rice_ball:,3
:pretzel:,3
:pregnant_woman:,3
:person_running:,3
:poultry_leg:,3
:black_circle:,3
:peanuts:,3
:hot_beverage:,3
:cold_face:,3
:mouse:,3
:crying_face:,3
:motorcycle:,3
:meat_on_bone:,3
:black_heart:,3
:down-right_arrow:,3
:angry_face:,3
:frowning_face:,3
:ear:,3
:face_with_tongue:,3
:eggplant:,3
:water_pistol:,3
:fire:,3
::,3
:full_moon_face:,3
:glass_of_milk:,3
:D:,2
:woman_dancing:,2
:man_running:,2
:man_dancing:,2
:mushroom:,2
:nail_polish:,2
:cloud_with_lightning:,2
:white_square_button:,2
:orange_heart:,2
:partying_face:,2
:mountain:,2
:birthday_cake:,2
:victory_hand:,2
:bird:,2
:astonished_face:,2
:pizza:,2
:taco:,2
:steaming_bowl:,2
:bacon:,2
:purple_heart:,2
:chart_increasing:love:chart_decreasing:,2
:squinting_face_with_tongue:,2
:right_arrow_curving_up:,2
:spiral_shell:,2
:left_arrow:,2
:shrimp:,2
:soap:,2
:man_curly_hair:,2
:face_with_open_mouth:,2
:dumpling:,2
:1st_place_medal:,2
:grinning_face_with_sweat:,2
:grinning_squinting_face:,2
:dog_face:,2
:guitar:,2
:disappointed_face:,2
:dango:,2
:french_fries:,2
:foot:,2
:heart_exclamation:,2
:hot_dog:,2
:cucumber:,2
:hot_pepper:,2
:drop_of_blood:,2
:egg:,2
:face_screaming_in_fear:,2
:kitchen_knife:,2
:white_heart:,1
:sparkles:poor:sparkles:,1
:billed_cap:,1
:sparkles:autism:sparkles:,1
:sparkles:defective:sparkles:,1
:sparkles:nicotine:sparkles:,1
:writing_hand:never:writing_hand:write:writing_hand:to:writing_hand:leon:writing_hand:again:writing_hand:,1
:game_die:,1
:sparkles:quirky:sparkles:,1
:bicycle:,1
:eye:‍:left_speech_bubble:,1
:speak-no-evil_monkey:,1
:spider_web:,1
:frowning_face_with_open_mouth:,1
:writing_hand:sleep:writing_hand:but:writing_hand:don't:writing_hand:,1
:glasses:,1
:snowflake:,1
:women_with_bunny_ears:,1
:China:,1
:snail:,1
:gloves:,1
:gorilla:,1
:green_heart:,1
:yellow_square:,1
:green_salad:,1
:black_medium-small_square:,1
:black_small_square:,1
:smiling_cat_with_heart-eyes:,1
:small_orange_diamond:,1
:small_blue_diamond:,1
:spoon:,1
:eight-spoked_asterisk:,1
:Japanese_congratulations_button:,1
:tornado:,1
:waving_hand:,1
:water_wave:,1
:ear_of_corn:,1
:white_large_square:,1
:female_sign:,1
:Japanese_not_free_of_charge_button:,1
:white_medium_square:,1
:up_arrow:,1
:up-right_arrow:,1
:up-left_arrow:,1
