0,0,0
Leon,08/07/2020,wait wha
Leon,08/07/2020,actually cry?
Leon,08/07/2020,why??
Leon,08/07/2020,are u okay?>
Leon,08/07/2020,o wow
Leon,08/07/2020,o :(
Leon,08/07/2020,yea that's kinda shet :(
Leon,08/07/2020,dw kristi im here with u
Leon,08/07/2020,broke gang represent
Leon,08/07/2020,o
Leon,08/07/2020,okay
Leon,08/07/2020,goodnight :)
Leon,08/07/2020,I think ur a pretty cool person btw even if ur dad doesn't seem to think so :)
Leon,08/07/2020,o hi again
Leon,08/07/2020,I mean I don't think it really counts as spilt to want both parents in ur life
Leon,08/07/2020,seems completely justified to me
Leon,08/07/2020,ur mum does seem really nice tho xd
Leon,08/07/2020,okay tho lol goodnight again
Leon,08/07/2020,I'll be here for u unless u take like half an hour in-between texts then i probably fell asleep
Leon,08/07/2020,okay I'm sleeping now lol
Leon,08/07/2020,don't beat urself up too much for no reason kristi
Leon,08/07/2020,I don't think anybody would call you spoilt for wanting a father figure in your life
Leon,08/07/2020,o gm
Leon,08/07/2020,how are u :)
Leon,08/07/2020,o
Leon,08/07/2020,yea same
Leon,08/07/2020,ye xdd
Leon,08/07/2020,not much i just went on my pc just now xd
Leon,08/07/2020,do what lol
Leon,08/07/2020,aura?? :o
Leon,08/07/2020,why tho lmao
Leon,08/07/2020,when u can use ur phone
Leon,08/07/2020,and ur fine
Leon,08/07/2020,o
Leon,08/07/2020,ok lmao
Leon,08/07/2020,yea well i have my pc brightness at 0 as well lol
Leon,08/07/2020,dam that's sad times
Leon,08/07/2020,bruh its too bright get me out
Leon,08/07/2020,xddddd
Leon,08/07/2020,bruh no don't go to hell xddd
Leon,08/07/2020,ye but heaven probably has sunglasses
Leon,08/07/2020,
Leon,08/07/2020,oyE
Leon,08/07/2020,lmaoaoao
Leon,08/07/2020,if u can walk on water then ye sure
Leon,08/07/2020,did u ever read those posts that's like
Leon,08/07/2020,watermelons are 98% water
Leon,08/07/2020,so if u stand on a watermelon ur 98% jesus :sunglasses:
Leon,08/07/2020,:sunglasses: :sunglasses:
Leon,08/07/2020,ye xddd
Leon,08/07/2020,o
