,Word,Count
0,I,7127
1,u,5560
2,and,5010
3,the,4463
4,to,3800
5,a,3464
6,yea,3199
7,like,2910
8,it,2721
9,but,2500
10,is,2490
11,my,2430
12,so,2242
13,o,2192
14,ye,2140
15,I'm,2028
16,me,1890
17,ur,1757
18,just,1592
19,in,1560
20,was,1531
21,that,1527
22,it's,1479
23,for,1379
24,of,1353
25,bruh,1327
26,not,1221
27,no,1198
28,xd,1184
29,tho,1174
30,what,1167
31,on,1144
32,🤔,1138
33,be,1031
34,this,997
35,do,954
36,if,953
37,don't,950
38,i,906
39,are,903
40,she,887
41,have,862
42,then,857
43,think,816
44,that's,809
45,or,803
46,bc,774
47,yE,763
48,at,745
49,cos,743
50,:D,742
51,really,742
52,get,710
53,with,700
54,bro,695
55,when,694
56,now,681
57,how,680
58,about,679
59,her,661
60,up,645
61,why,643
62,idk,642
63,we,642
64,shit,627
65,tbh,616
66,actually,604
67,can,598
68,anyway,590
69,its,586
70,maybe,576
71,too,563
72,well,555
73,they,555
74,also,541
75,go,531
76,should,524
77,as,501
78,he,497
79,one,495
80,literally,488
81,more,486
82,even,485
83,xdd,479
84,all,475
85,I'll,475
86,gonna,454
87,kno,448
88,out,447
89,oh,442
90,xddd,438
91,O,437
92,mum,428
93,see,424
94,okay,417
95,leon,416
96,some,412
97,lol,408
98,good,406
99,probably,405
100,would,403
101,:(,399
102,did,396
103,bit,394
104,she's,384
105,you,382
106,need,382
107,🥱,361
108,want,351
109,can't,349
110,gay,346
111,got,337
112,pretty,329
113,know,319
114,time,310
115,girl,304
116,D:,293
117,an,289
118,said,289
119,only,285
120,im,280
121,will,279
122,fuc,278
123,still,276
124,🥲,276
125,sleep,270
126,from,268
127,wtf,264
128,them,263
129,didn't,262
130,kinda,260
131,say,259
132,had,253
133,lmao,251
134,wanna,251
135,play,251
136,:),250
137,wow,249
138,guess,247
139,people,240
140,ded,239
141,there,239
142,let's,236
143,😳😳😳,236
144,😔😔,234
145,make,233
146,nice,229
147,being,228
148,other,227
149,who,227
150,doing,227
151,oka,226
152,thing,225
153,much,223
154,again,222
155,back,220
156,gn,220
157,were,218
158,he's,216
159,ok,215
160,than,215
161,bad,214
162,after,208
163,basically,207
164,day,206
165,school,205
166,his,204
167,there's,204
168,feel,202
169,their,201
170,never,201
171,😔😔😔,200
172,tell,198
173,wait,197
174,has,196
175,they're,194
176,love,194
177,what's,191
178,song,187
179,watch,186
180,where,186
181,fking,185
182,shet,183
183,na,181
184,read,180
185,lmaoaoa,178
186,tired,177
187,always,176
188,him,173
189,I'd,171
190,sad,170
191,over,170
192,imagine,170
193,talking,169
194,👀,169
195,been,169
196,smh,169
197,yes,167
198,might,167
199,w,167
200,same,166
201,tmw,165
202,into,165
203,2,165
204,:],164
205,first,164
206,💦,164
207,talk,164
208,come,163
209,btw,162
210,korone,162
211,done,161
212,we're,161
213,oic,158
214,today,156
215,doesn't,156
216,take,156
217,better,155
218,look,155
219,next,155
220,told,150
221,thought,150
222,I've,147
223,could,144
224,fine,143
225,long,143
226,remember,143
227,since,143
228,rn,143
229,Well,142
230,already,140
231,playing,140
232,friends,139
233,val,139
234,which,138
235,before,137
236,our,137
237,off,136
238,moca,136
239,cute,135
240,great,134
241,girls,131
242,brother,130
243,game,129
244,am,128
245,wot,128
246,give,128
247,stuff,127
248,ew,127
249,does,127
250,stan,126
251,wdym,126
252,sure,126
253,anything,126
254,usually,125
255,let,125
256,lot,124
257,something,124
258,music,123
259,guy,123
260,going,123
261,way,121
262,>:(,121
263,sounds,121
264,says,121
265,mean,121
266,ask,121
267,looks,121
268,watching,120
269,us,120
270,yeah,120
271,little,119
272,put,119
273,😳😳,119
274,mc,119
275,by,118
276,die,118
277,super,118
278,life,118
279,any,117
280,real,117
281,right,117
282,buy,117
283,league,117
284,isn't,116
285,weird,116
286,ikr,116
287,another,115
288,else,115
289,smt,114
290,eat,114
291,send,114
292,getting,113
293,nothing,113
294,won't,113
295,last,113
296,went,113
297,cool,113
298,ik,112
299,:|,112
300,home,109
301,hate,109
302,ever,109
303,tru,108
304,saying,107
305,bed,106
306,try,106
307,hard,106
308,omg,105
309,1,104
310,3,104
311,bb,104
312,voice,103
313,times,103
314,those,103
315,someone,102
316,made,101
317,zzz,100
318,things,100
319,dont,100
320,makes,100
321,your,100
322,:((,99
323,person,98
324,poor,98
